"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 MN ,708144,712762,749533,759016,798302,845723,902125,906385,967720,1054849,1080497,1119593,1180510,1228840,1205489,1212678,1262619,1233709,1318580,1317715,1192251,1145104,1150235,1149001,1211934,1223172,1210175,1219310,1325608,1356678,1399749,1423114,1432163,1476438,1512190,1601592,1669382,1638039,1613948,1682954,1735761,1706313,1767476,1843962,1846595,1851444,1821508,1869802,1874372,1742930,1813361,1792762,1747882,1821090,1868616,1745523,1770116,1779751,1857588,1822664,1640945,1722694,1756496,1689356
 MO ,882051,880518,919709,934347,968096,1019627,1076732,1103664,1182279,1233036,1276655,1291913,1349056,1384669,1361033,1372275,1434811,1476138,1517527,1491649,1382603,1327220,1317373,1314353,1336767,1365000,1364511,1393615,1467533,1471793,1490887,1531142,1520209,1619168,1643126,1702651,1791633,1789852,1832896,1875522,1826062,1856035,1868202,1879317,1884851,1974667,1966264,1977175,1934242,1830471,1909924,1854082,1777037,1837558,1898451,1812747,1761978,1722939,1836631,1772045,1654294,1696141,1729607,1681954
 MS ,396572,402528,427940,462800,501790,498462,553102,564500,629570,666632,727934,765301,809594,826443,793510,748989,757338,801880,827464,856438,812052,797416,789869,793376,833356,814503,822593,848586,900034,936818,1015128,1037042,1062132,1071986,1089406,1114962,1137369,1138146,1136123,1229948,1242230,1132668,1170397,1201624,1206056,1173361,1209261,1223586,1163638,1110149,1153321,1126395,1112775,1089942,1102348,1085094,1071655,1067882,1104397,1092194,1035679,1081477,1098269,1074319
 MT ,220333,234519,240602,245316,256075,250103,266480,250987,270828,302483,311713,322501,331660,338463,340442,334512,354415,353003,372821,386570,350058,327595,306076,312450,345422,358129,340169,320003,333710,341882,310458,313553,318520,329278,340383,350916,345335,327595,351575,353885,372039,335079,347138,349542,371586,389848,405771,433895,419269,389891,373201,362401,357211,369323,364263,368124,368963,381910,393240,405678,371144,379133,388515,382218
 NC ,799267,830969,871813,899883,933233,964796,1053561,1095373,1167204,1230716,1291421,1347835,1424361,1493355,1437788,1395969,1499019,1586305,1606288,1671887,1607409,1572321,1525783,1594752,1727564,1733345,1810587,1904817,1991109,1997506,2009568,2005519,2100066,2194539,2189090,2318862,2400141,2384048,2433538,2462256,2587711,2529858,2545210,2542759,2626745,2661860,2619752,2661571,2671034,2513686,2716889,2588774,2499341,2503234,2557339,2548314,2561023,2507091,2595129,2566245,2363742,2519796,2578739,2472784
 ND ,157619,152928,162869,168646,169931,167116,178017,181987,188870,189103,187555,191459,199729,198105,199613,201994,206149,206944,225184,233000,217515,231283,228322,224044,252723,294248,297764,298035,302110,313743,309734,319574,326186,329622,338628,345525,347336,353277,343412,370208,377163,404329,397570,396611,400176,405595,411170,432847,436772,424254,459000,505928,529650,570946,613985,583751,555107,595110,624149,641160,619246,653347,675385,703926
 NE ,301500,308179,319984,327610,339293,339976,381090,376563,413164,443915,475135,482962,497611,510150,504806,511589,541770,546830,543846,532397,494171,465352,477177,486000,490603,486078,468296,483697,524318,520576,526493,536262,525031,553948,576203,604571,634831,648029,664539,654753,658506,657462,669254,679281,691976,698718,714178,754246,792458,773922,858000,848376,837542,856122,859049,835564,846564,838416,873966,866742,813101,843971,848127,840136
 NH ,107928,115890,123905,129305,128888,126838,140294,144456,154293,170493,180712,194757,205749,209977,199251,194707,219987,224652,226432,203952,201554,193876,193836,196403,216320,225858,244164,265948,266934,264689,256611,246331,255293,255507,257447,261569,271947,272487,275386,286067,302941,301533,310926,320333,327923,320450,302739,305098,296396,292087,294182,291327,282660,299764,307962,310768,301534,310340,318213,312436,285472,292720,297703,294907
 NJ ,1274609,1332548,1428980,1470211,1505162,1532604,1630216,1725549,1798696,1848209,1929599,1919350,2029139,2071090,1926195,1831450,2021898,1968184,1973434,1986355,1995676,1982663,2013148,2030471,2131621,2089931,2150686,2232310,2255080,2306618,2249404,2277391,2362094,2372788,2482511,2474928,2456095,2472747,2451070,2561343,2477618,2452615,2479729,2507742,2551491,2647662,2531346,2655233,2581953,2360786,2277813,2261325,2154878,2198547,2212385,2166983,2125088,2071086,2171789,2074884,1862114,1965465,2024328,1982296
 NM ,323169,334528,369973,364506,359398,347785,370504,401452,430120,422128,451606,461632,493785,469880,467620,451285,501068,467093,467297,472433,472378,464979,455822,462862,463457,455983,444217,476333,502383,524849,596714,589783,586608,601669,590170,581611,604479,643472,635425,639172,661807,660774,658663,659610,682293,681623,686722,708988,669937,637573,644615,661374,657153,660840,667442,667386,652846,657837,667998,702099,655082,680597,683757,680489
